display_name,challonge_id,ch_part_id,gg_discriminator,gg_user_id,gg_entrant_id
boognish,2826240,,,447412,1533853
Zoombie,1139727,,,448973,1543424
SilverRexy,3143449,,5e807ec3,447921,1536244
Captain Spurt Dimmadome,3148332,,,448996,1543558
RadiantHero6,2917542,,77d6ad67,448660,1540827
Snoozincopter,3140847,,,448273,1538647
Vincent,3141603,,,448606,1540477
zedOFF,2832922,,,448834,1542239
BmoSweggs,1188588,,,446935,1530383
[redacted],890473,,,447450,1533983
Band1coot,2453047,,7a2d1b51,446772,1529364
SuprCollider,5178525,,13756b85,1615764,9775484
SpaceHeart,3346321,,6e7cd579,1815127,9794095
Capapas,1889211,,3e5ed628,75730,9776052
tedd_e,5552411,,ef40b6a3,1210750,18173077
Galaxy,7140485,,ec4a8c9a,2776690,17753569
RoyalJG,4047717,,33fd337e,702604,4788027
twz,4908276,,eb2d125c,1798221,9620943
Osky,4591692,,1f173fdc,1452914,9610736
avg_duck,6856916,,e775ced4,2272978,20161328
Stray Demon,5472671,,fd1264c5,1535911,20066933
psyan,6949525,,0f25aef4,2914536,4545702
Crispity,6459683,,495ed7c2,2899111,18961854
biscuittt,6225013,,e8e64ca4,2558582,20365573
souss,6268223,,8ec71841,2972672,19681994
pengoui,7223255,,39fe09ac,3098638,20672186
Magic Mouse,4061332,,403338ec,1194308,20672045
KiiVoZin,7533565,,1c60d348,3098594,20671852
sick21ck,4509000,,1012510a,3098582,20671772
unclefat,6923866,,e07620c0,3098581,20671759
Reaps,6986952,,4205fe2d,3056901,20671587
purple puzzler,881997,,cbabeddc,3098563,20671572
Frostelus,1900287,,d86b7b76,17754,20671554
Potato528,5693710,,00c852f0,3098550,20671520
ClownKingWalrus,6601669,,453c14b0,3097866,20667167
The Dangus,5404382,,1ffba092,3052429,20664282
suppermud,6924152,,7bdfac57,3097588,20664246
TheBadJoe,994083,,8f4fe137,524003,20636938
SuiBaan,6360583,,8301f3c6,3091081,20606816
remy517,7178699,,fafd7892,3084042,20541511
ConnieKins,2586555,276301545,132c9268,459990,9510143
aem,,276301542,b409a46f,30118,3485695
