url,name,subdomain,yt_vods,twitch_vods
http://www.challonge.com/slayersfinal,slayersfinal,,list=PLmcF8BW7qs47VIt-qSJcVPoIXn0SUTAhB,
http://www.challonge.com/thesns3,thesns3,,,
http://www.challonge.com/thesns4,thesns4,,,
http://www.challonge.com/thesuprspecial,thesuprspecial,,,1785472390;1785472754
http://www.challonge.com/udfs00j0,udfs00j0,,,
http://www.challonge.com/v5glgj9w,v5glgj9w,,,
http://www.challonge.com/volhalla,volhalla,,,
http://www.challonge.com/wallacewednesdays1,wallacewednesdays1,,,
http://www.challonge.com/wallacewednesdays2,wallacewednesdays2,,,
http://www.challonge.com/wallacewednesdays3,wallacewednesdays3,,,
http://www.challonge.com/walliswednesdays1,walliswednesdays1,,,
http://www.challonge.com/walliswednesdays2,walliswednesdays2,,,
http://www.challonge.com/wb62q7po,wb62q7po,,,
http://www.challonge.com/wy59rbri,wy59rbri,,list=PLmcF8BW7qs45gMtEJ_Dq_G1O3pcaLk1wO,
http://www.challonge.com/x16174uz,x16174uz,,,
http://www.challonge.com/xyj97rx6,xyj97rx6,,,
http://www.challonge.com/y4osc4ba,y4osc4ba,,,
http://www.challonge.com/yrj9px6l,yrj9px6l,,,
http://www.challonge.com/yxrq5axw,yxrq5axw,,,
http://www.challonge.com/zcgqxy0t,zcgqxy0t,,,
https://challonge.com/CactosLostToOmeg,CactosLostToOmeg,,7cnLhaY7IDk,
https://challonge.com/BiscuitWeekly3,BiscuitWeekly3,,kE5lxf-hUEA
https://challonge.com/BiscuitWeekly4,BiscuitWeekly4,,
https://challonge.com/BiscuitWeekly6,BiscuitWeekly6,,n5xKlmDtqGE
https://challonge.com/BiscuitWeekly7,BiscuitWeekly7,,kze38fJjF2s
https://challonge.com/BiscuitWeekly8,BiscuitWeekly8,,PizBl9F6Iic
https://challonge.com/BiscuitWeekly9,BiscuitWeekly9,,Qt7gvu-V_aM
https://challonge.com/BiscuitWeekly11,BiscuitWeekly11,,50Z7hsW70KA
https://challonge.com/BiscuitWeekly12,BiscuitWeekly12,,XZVKiAS0ZVA
https://challonge.com/BiscuitWeekly13,BiscuitWeekly13,,DB1xzb_4Lfs
https://challonge.com/BiscuitWeekly14,BiscuitWeekly14,,
https://challonge.com/BiscuitWeekly16,BiscuitWeekly16,,
https://challonge.com/BiscuitWeekly17,BiscuitWeekly17,,G_gULc2XD5w
https://challonge.com/BiscuitWeekly18,BiscuitWeekly18,,GcLdtJuu-3s
https://challonge.com/BiscuitWeekly19,BiscuitWeekly19,,D1NVONYMdF0
https://challonge.com/BiscuitWeekly21,BiscuitWeekly21,,
https://challonge.com/BiscuitWeekly22,BiscuitWeekly22,,19L8u84J13U
https://challonge.com/BiscuitWeekly23,BiscuitWeekly23,,
https://challonge.com/BiscuitWeekly24,BiscuitWeekly24,,
https://challonge.com/llbopen1,llbopen1,,mkoj9UTiIfQ
https://challonge.com/llbopen1am,llbopen1am,,
https://challonge.com/7wzicph5,7wzicph5,,,
https://challonge.com/LLBUTOP,LLBUTOP,,,
https://challonge.com/LLBTOP2,LLBTOP2,,,
https://challonge.com/LLBUTOP3,LLBUTOP3,,,
https://challonge.com/y3flwvug,y3flwvug,,,
https://challonge.com/BD_1,BD_1,5a0f067b3152aa8c7bf1bd3f,,
https://challonge.com/BnD2,BnD2,5a0f067b3152aa8c7bf1bd3f,,
https://challonge.com/BnD3,BnD3,5a0f067b3152aa8c7bf1bd3f,,Iq3tLakZ5xWRxA
https://challonge.com/BnD4,BnD4,5a0f067b3152aa8c7bf1bd3f,,535079283;535079284
https://challonge.com/BnD5,BnD5,5a0f067b3152aa8c7bf1bd3f,,APfyDlyv6xU_Tg
https://challonge.com/BnD6,BnD6,5a0f067b3152aa8c7bf1bd3f,,
https://challonge.com/BnD7,BnD7,5a0f067b3152aa8c7bf1bd3f,list=PLkmB9NnQdon_vKcJV-h7a_keQdXyB0pmR,
https://challonge.com/BnA2,BnA2,5a0f067b3152aa8c7bf1bd3f,,
https://challonge.com/BnA3,BnA3,5a0f067b3152aa8c7bf1bd3f,,
https://challonge.com/BnA5,BnA5,5a0f067b3152aa8c7bf1bd3f,,
https://challonge.com/LFCB3,LFCB3,,,
https://challonge.com/RHAT7,RHAT7,,tKY2Iv81kaQ,
https://challonge.com/sub1cxtd,sub1cxtd,,uxkfMpd5PJ0,
https://challonge.com/llbopen2,llbopen2,,Rj94Ouo2gW0;Rj94Ouo2gW0,
https://challonge.com/socalllb1,socalllb1,,list=PLmcF8BW7qs46z50gt-mvvueZmlxWH1_UH,
https://challonge.com/m3lo6m0h,m3lo6m0h,0dfd309e889782369e8450df,,
https://challonge.com/wepjzzwv,wepjzzwv,0dfd309e889782369e8450df,,
https://challonge.com/blaze4scholarships,blaze4scholarships,1530c91b4e3017c125f58e6a,,
https://challonge.com/slambootleg2,slambootleg2,1530c91b4e3017c125f58e6a,,
https://challonge.com/jmcup25,jmcup25,2259e5cf37a11d07e6a0e522,,
http://www.challonge.com/IMTNPC1,IMTNPC1,,,
http://www.challonge.com/IMTNPC2,IMTNPC2,,,
http://www.challonge.com/IMTNPC2EU,IMTNPC2EU,,,
http://www.challonge.com/IMTNPC3,IMTNPC3,,,
http://www.challonge.com/TWNPC4,TWNPC4,,,
http://www.challonge.com/NPC5,NPC5,,,
http://www.challonge.com/NPC6,NPC6,,,
http://www.challonge.com/NPC7,NPC7,,,
http://www.challonge.com/NPC8,NPC8,,,
http://www.challonge.com/NPC9,NPC9,,,
http://www.challonge.com/NPC10,NPC10,,19rhOe0J0l8,
http://www.challonge.com/NPC11,NPC11,,o4hCNi1bW28,
http://www.challonge.com/NPC12,NPC12,,Q-TYmnqTL8A,
http://www.challonge.com/NPC13,NPC13,,,
http://www.challonge.com/NPC14,NPC14,,,
http://www.challonge.com/NPC15,NPC15,,,
http://www.challonge.com/NPC16,NPC16,,,
https://challonge.com/NPC17,NPC17,,,
https://challonge.com/NPC18,NPC18,,,
https://challonge.com/NPC19,NPC19,,,
https://challonge.com/NPC20,NPC20,,,
https://challonge.com/NPC21,NPC21,,,
https://challonge.com/NPC22,NPC22,,,
https://challonge.com/NPC23,NPC23,,,
https://challonge.com/NPC24,NPC24,,,
https://challonge.com/NPC25,NPC25,,,
https://challonge.com/NPC26,NPC26,,,
https://challonge.com/NPC27,NPC27,,,
https://challonge.com/NPC28,NPC28,,,
https://challonge.com/NPC29,NPC29,,,
https://challonge.com/NPC30,NPC30,,,
https://challonge.com/NPC31,NPC31,,,
https://challonge.com/NPC32,NPC32,,zZajmcjNd9I,
https://challonge.com/NPC33,NPC33,,,
https://challonge.com/NPC34,NPC34,,V21XhvxLC60,
https://challonge.com/NPC35,NPC35,,vI01Ao15fs0,
https://challonge.com/NPC36,NPC36,,SMKSRdbVVQk,
https://challonge.com/NPC37,NPC37,,MjQbApKdz3w,
https://challonge.com/NPC38,NPC38,,,
https://challonge.com/NPC39,NPC39,,,
https://challonge.com/NPC40,NPC40,,list=PLVSx2Vk2LO7eC-BddNQzBEv46JAdtJtW5,
https://challonge.com/NPC41,NPC41,,Dra3EQsyhM4;list=PLVSx2Vk2LO7eKAV9FAXyOl3KzrgaieXF7,
https://challonge.com/NPC42,NPC42,,gLTcqjInH2Y,
https://challonge.com/NPC43,NPC43,,B0Lu5ntxC2k,
https://challonge.com/NPC44,NPC44,,2rFWomd8gis;list=PLVSx2Vk2LO7dQu867a7j78ZMSM_V72pfw,
https://challonge.com/NPC45,NPC45,,sORR1zlvH3A;list=PLVSx2Vk2LO7eSJcte5cgyYDExwSLPxmZC,
https://challonge.com/NPC46,NPC46,,T6nkD99R338,2424853876
https://challonge.com/NPC47,NPC47,,OBSN60-nDIs,
https://challonge.com/NPC48,NPC48,,,
https://challonge.com/NPC49,NPC49,,0BcZJwSbBCs,2504621877
https://challonge.com/NPC50,NPC50,,JIFafHl-sxE,2529458133
https://challonge.com/NPC51,NPC51,,,
https://challonge.com/NPC52,NPC52,,,
https://challonge.com/GridGang1,GridGang1,,,
https://challonge.com/RNP1,RNP1,,,
